brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,40200,3 stars,48,1
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,40990,3 stars,3,0
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42490,3 stars,0,0
acer,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,23990,3 stars,61,4
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,71999,4 stars,97,13
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,39990,4 stars,181,19
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41998,4 stars,529,39
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,41990,3 stars,0,0
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,39999,3 stars,0,0
ASUS,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,39990,3 stars,0,0
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,39998,4 stars,10,1
HP,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42490,4 stars,5205,561
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,41990,3 stars,3,0
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,48490,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44376,4 stars,1090,96
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,43900,3 stars,0,0
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,46690,3 stars,0,0
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,40990,5 stars,1,1
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,39990,4 stars,44,2
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,43990,3 stars,0,0
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,36990,4 stars,70,9
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,48500,3 stars,0,0
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,48990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,23490,4 stars,632,92
HP,Intel,Core i3,8th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,54238,4 stars,71,8
ASUS,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,37990,4 stars,990,108
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,158,18
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,681,59
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,35990,4 stars,130,12
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,30,4
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,32-bit,0 GB,1 year,Yes,51990,4 stars,6,2
